#course-code, format, duration, section, times, days, location, room1, room2, instructor
ABTE8P83,FLD,2,1,Field Trip,       ,,,,Jessiman-Macarthur Shannon
ABTE8P83,FLD,3,1,Field Trip,       ,OC044,OC044,,Absttba2
ABTE8P85,FLD,2,1,Field Trip,       ,,,,Chapman Christopher
ABTE8P90,FLD,3,1,Field Trip,       ,OC044,OC044,,Absttba2
ABTE8Y71,FLD,2,1,Field Trip,       ,,,,Tice Joseph
ABTE8Y71,FLD,3,1,Field Trip,       ,OC044,OC044,,Absttba2
ABTE8Y72,FLD,2,1,Field Trip,       ,OC044,OC044,,Absttba2
ABTE8Y86,FLD,3,1,Field Trip,       ,,,,Fleury Darla
ABTE8Y88,FLD,3,1,Field Trip,       ,,,,Chapman Eyjolina
ABTE8Y89,FLD,2,1,Field Trip,       ,,,,Howie Kirsty
ABTE8Y95,FLD,2,1,Field Trip,       ,OC044,OC044,,Absttba2
ABTE8Y96,FLD,2,1,Field Trip,       ,OC044,OC044,,Absttba2
ACTG1P01,ASY,2,1,,       ,ASYNC,ASYNC,,Zhang Xia (Celine)
ACTG1P01,LEC,2,2,1100-1230, M  R  ,GSB306,GSB306,,Zhang Xia (Celine)
ACTG1P01,LEC,2,3,930 -1100,  T R  ,GSB206,GSB206,,Skrubbeltrang Glenn
ACTG1P01,LEC,2,5,1400-1530, M  R  ,GSB306,GSB306,,Suwanyangyuan Simon
ACTG1P02,LEC,3,1,1100-1230, M  R  ,STH201,STH201,,Shome Anamitra
ACTG1P02,LEC,3,2,930 -1100,  T  F ,GSB306,GSB306,,Shome Anamitra
ACTG1P02,LEC,3,3,930 -1100,  T R  ,GSB206,GSB206,,Skrubbeltrang Glenn
ACTG1P02,LEC,3,4,1230-1400,  T R  ,WH209,WH209,,Skrubbeltrang Glenn
ACTG1P91,LEC,2,1,1400-1530, M  R  ,GSB206,GSB206,,Gong Dan (Sabrina)
ACTG1P91,LEC,2,2,800 -930 ,   W F ,GSB206,GSB206,,Chasse Norman
ACTG1P91,LEC,2,3,1230-1400, M  R  ,STH201,STH201,,Gong Dan (Sabrina)
ACTG1P91,LEC,2,4,1400-1530,   W F ,GSB306,GSB306,,Suwanyangyuan Simon
ACTG1P91,ASY,2,5,,       ,ASYNC,ASYNC,,Suwanyangyuan Simon
ACTG1P91,ASY,2,6,,       ,ASYNC,ASYNC,,Elayan Fayez
ACTG1P91,SYN,2,7,930 -1100,   W F ,SYNC,SYNC,,Chasse Norman
ACTG1P91,LEC,3,1,1100-1230, M W   ,GSB306,GSB306,,Trabelsi Samir
ACTG1P91,LEC,3,3,1530-1700,   W F ,GSB206,GSB206,,Hollo Sangeeta
ACTG2P12,LEC,2,1,800 -930 ,  T R  ,GSB206,GSB206,,Herath Hemantha
ACTG2P12,ASY,2,2,,       ,ASYNC,ASYNC,,Shome Anamitra
ACTG2P12,ASY,2,3,,       ,ASYNC,ASYNC,,Shome Anamitra
