name, term, type, date
Canada Day closure (no classes),Spring 2022,Holiday/University Closure,June 30 2022 and July 1 2022
Canada Day closure (no classes),Spring 2022,Holiday/University Closure,July 1 2022
Christmas and New Year holiday - university closed depending on operational needs there may be limited service available during this time,Winter 2022,Holiday/University Closure,Dec. 24 2021 (noon) - Jan. 3 2022
Christmas and New Year holiday - university closed depending on operational needs there may be limited service available during this time,Winter 2022,Holiday/University Closure,December 24 2021-January 3 2022
Civic Holiday (no classes),Summer 2022,Holiday/University Closure,August 1 2022
Examinations begin,Fall 2021,Examinations,December 9 2021
Examinations begin,Winter 2022,Undergraduate,April 12 2022
Examinations begin,Winter 2021,Examinations,April 13 2021
Examinations begin,Spring (D2) 2022,Examinations,June 3 2022
Examinations begin,Spring (D1 and D3) 2022,Examinations,July 8 2022
Examinations begin,Winter 2022,Examinations,April 12 2022
Examinations end,Fall 2021,Examinations,December 22 2021
Examinations end,Winter 2022,Undergraduate,April 26 2022
Examinations end,Winter 2021,Examinations,April 23 2021
Examinations end,Spring (D2) 2022,Examinations,June 4 2022
Examinations end,Spring (D1 and D3) 2022,Examinations,July 9 2022
Examinations end,Summer 2022,Examinations,August 20 2022
Examinations end,Winter 2022,Examinations,April 26 2022
Fall 2021 tuition due (All students including International ISP cohort) *subject to change,Fall 2021,Finance,September 8 2021
Fall Convocation,Fall 2021,Convocation,October 15 2021
Fall Convocation,Fall 2022,Convocation,TBD
Fall D10 (without academic penalty),Fall 2021,Pre-service; Withdrawal,December 2 2021
Fall D19 (without academic penalty),Fall 2021,Pre-service; Withdrawal,September 16 2021
Fall D2 (without academic penalty),Fall 2021,Pre-service; Withdrawal,November 5 2021
Fall D20 (without academic penalty),Fall 2021,Pre-service; Withdrawal,October 21 2021
Fall D23 (without academic penalty),Fall 2021,Pre-service; Withdrawal,September 3 2021
Fall D24 (without academic penalty),Fall 2021,Pre-service; Withdrawal,October 15 2021
Fall D4 (without academic penalty),Fall 2021,In-service; Withdrawal,November 3 2021
Fall D4 (wthout academic penalty),Fall 2021,Pre-service; Withdrawal,September 24 2021
Fall D5 (wthout academic penalty),Fall 2021,Pre-service; Withdrawal,October 27 2021
Fall D6 (without academic penalty),Fall 2021,Pre-service; Withdrawal,November 9 2021
Fall D7 (without academic penalty,Fall 2021,Pre-service; Withdrawal,October 11 2021
Fall D9 (without academic penalty),Fall 2021,Pre-service; Withdrawal,November 12 2021
Fall Preview day,Fall 2021,Campus Event,TBC
Fall/Winter - D1 course,Fall/Winter 2021,Registration,September 21 2021
Fall/Winter - D11 course,Fall/Winter 2021,Registration,March 6 2022
Fall/Winter - D2 course,Fall/Winter 2021,Registration,September 21 2021
Fall/Winter - D3 course,Fall/Winter 2021,Registration,January 21 2022
Fall/Winter - D7 course,Fall/Winter 2021,Registration,September 21 2021
Fall/Winter - D8 course,Fall/Winter 2021,Registration,September 21 2021
Fall/Winter - D9 course,Fall/Winter 2021,Registration,January 21 2022
Fall/Winter D1,Fall/Winter 2021,Undergraduate; Withdrawal,January 21 2022
Fall/Winter D1 (without academic penalty),Fall/Winter 2021,Pre-service; Withdrawal,January 18 2022
Fall/Winter D1 (without academic penalty),Fall/Winter 2021,In-service; Withdrawal,February 9 2022
Fall/Winter D10,Fall/Winter 2021,Undergraduate; Withdrawal,February 23 2022
Fall/Winter D11,Fall/Winter 2021,Undergraduate; Withdrawal,March 25 2022
Fall/Winter D2,Fall/Winter 2021,Undergraduate; Withdrawal,November 2 2021
Fall/Winter D21 (without academic penalty),Fall/Winter 2021,Pre-service; Withdrawal,January 13 2022
Fall/Winter D3,Fall/Winter 2021,Undergraduate; Withdrawal,March 4 2022
Fall/Winter D6 (without academic penalty),Fall/Winter 2021,In-service; Withdrawal,December 21 2021
Fall/Winter D7,Fall/Winter 2021,Undergraduate; Withdrawal,October 25 2021
Fall/Winter D7 (without academic penalty),Fall/Winter 2021,In-service; Withdrawal,February 25 2022
Fall/Winter D8,Fall/Winter 2021,Undergraduate; Withdrawal,October 7 2021
Fall/Winter D8 (without academic penalty),Fall/Winter 2021,Pre-service; Withdrawal,December 20 2021
Fall/Winter D9,Fall/Winter 2021,Undergraduate; Withdrawal,January 31 2022
Family Day,Winter 2022,Holiday/University Closure,February 21 2022
